,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,Y
0,1.3561983731107765,2.1106765085808368,0.9971231724447525,3.664185568286202,0,0,1,2,0
1,4.066501732434307,3.790905265575656,0.9515190934237,1.5543420582062373,1,1,3,1,2
2,0.3062012993113181,-0.26102683023694784,-1.941727197950269,6.775700717324287,0,0,0,2,0
3,4.617877196184357,4.749936702442055,4.787865717609109,-3.2517191850806197,1,1,3,0,1
4,2.565291397945246,1.9550734618375103,1.398466335161729,1.800155601347643,0,1,1,1,0
5,-12.393206841685666,-14.098015055229327,0.6181122128990385,3.5850702653470776,0,1,2,3,0
6,5.072693724179784,4.055377015444971,1.1397775166891702,3.5959808852142965,1,1,3,1,2
7,1.3513864259989767,1.0935972736191744,3.949909045150903,-4.873175118498001,1,1,2,0,1
8,4.769337592772825,2.8859275540925933,-3.2338461634662443,3.6997221838236625,0,1,3,3,2
9,-10.588005182022096,-12.044490047475932,3.674503193186155,-49.82060244724034,0,1,1,3,0
10,3.851151621476835,4.942097327286423,1.4018155236339507,2.580516959723685,0,1,2,3,0
11,-6.420861119508633,-7.304114091430515,0.5937509425925169,-30.21260036282768,1,1,3,2,2
12,5.757539864025324,2.6545509754159697,-1.4361759172381716,3.692895425468442,1,1,3,2,2
13,3.039647417596501,3.396558837972871,2.6197060973366364,3.3232696760802556,1,0,1,2,3
14,5.493738873204947,1.8866139287614574,-1.646725679805151,5.066923369379218,1,1,2,1,2
15,1.591901948323791,6.7887549823134705,5.7335214221556585,-0.25552584818612045,1,0,2,3,3
16,1.3541573068986776,5.302120199769757,4.141423667203706,4.704572563126678,1,0,0,3,3
17,2.6198034889236244,3.8517412489411864,2.316713063017734,2.673896345159598,1,0,1,3,3
18,4.064313021089914,2.719710820762383,5.241098348271883,0.22150204040009225,1,0,0,0,3
19,0.9903577653560336,2.356482956314044,3.2613932315277157,-3.5124637215244037,1,1,2,0,1
20,2.1007944370772322,3.6703336533537003,1.7863036519164028,3.104071022696186,1,0,1,3,3
21,0.8726825193440892,4.732903499739472,2.9025910639722974,2.412206281331195,1,1,2,2,2
22,2.801819793866486,2.6151713772882017,3.521975248574169,-2.9453545018381795,1,0,2,0,1
23,2.6478223555234406,1.7325454134032945,3.9300766561556806,-3.839213786241266,1,1,2,0,1
24,2.2555139332862,1.9799916057164342,1.4473346513671228,-2.067283441763913,1,1,3,0,1
25,1.1151194511449851,5.622724591869865,3.294067189160343,5.474867253897071,1,0,1,3,3
26,3.0384171170007965,4.162115222575228,5.15247616897314,0.3886159309787671,0,1,0,1,0
27,2.80668241050484,3.1369646782264566,4.467493621001852,3.5223616371293827,1,0,0,1,3
28,2.485013772264503,4.399328300765277,3.0052561613852755,2.615616674384529,1,0,1,3,3
29,0.8354648938449043,-0.42957699552333617,-1.3025698791669054,5.495252406768281,0,0,0,1,0
30,3.0818618485767026,3.5602547770638866,1.6871522425408108,2.7182001785790946,0,1,1,2,0
31,-0.8905976750736313,2.389601474075617,1.6766259833688686,2.3329665297417757,1,1,2,1,2
32,3.5754739596090883,2.9726054344318755,5.423243290624814,1.7203851317464756,1,0,0,0,3
33,2.4324769329050797,3.9615226629618787,2.3583875593477397,-0.38647157944433586,1,1,3,1,1
34,4.362315068134427,1.6883573807855818,3.8563724249394467,-0.6899306991368923,0,1,0,0,0
35,-7.665579549922949,-8.720055856598023,2.971632180110431,-36.06947529010094,1,0,1,3,3
36,2.48401565063986,3.9670195173355527,2.8562420946325573,1.4303934057733432,0,1,1,2,0
37,3.3502612677210957,2.949133904355105,-0.19083994495603115,4.903810643020067,0,1,1,3,0
38,3.340044243312315,3.0911076359903698,1.0344102527721397,3.629425134123493,0,1,1,2,0
39,0.5855833197316436,4.62857101877111,3.2248312327815865,2.408623198389913,1,1,2,2,2
40,3.256548152914658,3.35248547306885,-0.15450291240864783,2.8516153971187688,1,1,3,2,2
41,4.5167731035711585,2.5607803744705584,2.6016454744861557,-3.335803431151005,1,1,3,0,1
42,1.1072817025502288,5.154199024130565,0.6314380389017221,3.6867281435881782,0,0,2,3,3
43,1.862153851786751,5.9291796518084485,4.228808229134557,3.653055072939994,1,0,1,3,3
44,0.1826115063950473,3.1816880576567397,4.103336435683645,-2.9233576569821875,1,1,3,0,1
45,2.036712603277155,2.0380638145152523,2.923088284781714,1.6298670892761447,0,0,0,1,0
46,5.074571558399227,5.62375883519829,2.9787736643936014,1.483772783502175,0,1,1,3,0
47,4.495079917930481,1.6957690063004491,1.6333645974959696,1.7599582303748935,0,1,0,0,0
48,-2.8041909161487393,-3.189935119990709,0.29248500434485886,-13.194787726098163,0,1,1,2,0
49,2.6696964322441454,1.5555844426682204,2.5649008597448457,1.4466311491895918,0,1,0,0,0
50,-2.1051782567048845,0.6975783647057665,0.6448709267160501,6.1358236452766555,0,0,0,2,0
51,3.5172588395584343,1.3506093275174922,2.11971670452988,-2.1847482754646705,1,1,2,0,1
52,2.4892736693304793,0.6876069798949129,1.5653759099839373,2.5071665376419285,0,1,0,0,0
53,2.1610029799649317,1.5096247277715005,-0.575488320361311,4.059001905070411,0,1,1,2,0
54,-9.845532065257952,-11.19988240782645,1.746005229807722,-46.32698326759753,0,0,0,2,0
55,4.29445621296491,2.3351284038038846,3.6235892199590554,-2.8217855308521314,1,1,2,0,1
